Home,Draw,Away,Score
2.5,3.15,2.7,0-1
2.6,3.45,2.6,1-1
2.55,3.4,2.6,0-4
2.75,3.3,2.75,1-2
2.5,3.45,2.95,2-2
2.6,3.35,2.6,0-0
2.16,3.45,3.25,2-5
2.65,3.4,2.65,1-3
2.55,3.4,2.75,3-2
2.8,3,2.8,3-3
2.55,3.05,2.65,3-3
2.8,3.25,2.75,0-4
2.75,3,2.8,1-2
2.2,3.1,3.45,1-1
2.28,3.4,3.25,0-2
3.05,3.4,2.4,4-2
2.14,3.15,3.2,2-0
2.46,3.2,3.2,2-1
3.25,3.45,2.33,0-0
3.1,3.4,2.24,1-1
2.15,3.4,3.25,2-0
3.2,3.25,2.09,1-1
2.14,3.1,3.35,2-1
3.4,3.1,2.11,1-1
3.15,3.45,2.21,1-3
3.25,3.3,2.28,0-1
2.48,3.15,3.05,2-2
3.2,3.35,2.4,1-1
2.38,3.1,3.45,1-0
2.07,3.6,3.35,0-1
3.05,3.85,2.12,2-0
2.25,3.45,3.1,2-2
2.22,3.3,3.05,2-0
3.1,3.35,2.24,3-1
2.1,3.4,3.25,0-3
3.05,3.5,2.36,1-1
3.05,3.5,2.16,3-4
2.11,3.65,3.45,2-2
2.19,3.6,3.25,0-0
3.15,3.4,2.27,1-2
2.29,3.25,3.25,2-1
2.3,3.35,3.15,1-0
2.25,3.4,3.2,2-2
2.21,3.4,3.3,3-0
2.45,3.25,3.1,0-2
3.35,3.2,2.19,1-0
3.25,3.4,2.05,3-0
2.19,3.45,3.2,0-1
3.3,3.05,2.49,3-2
2.17,3.4,3.15,0-3
2.38,3.4,3.15,3-1
2.14,3.35,3.1,1-1
2.65,3.45,2.75,2-1
2.75,3.2,2.65,1-0
2.85,3.3,2.6,0-4
2.7,3.25,2.55,2-3
2.75,3.3,2.55,0-1
2.65,3.15,2.85,1-1
2.5,3.15,2.8,1-1
2.75,3.3,2.7,4-1
2.7,3.15,2.9,1-1
2.85,3.15,2.55,0-2
2.65,3.3,2.8,1-2
2.75,3.15,2.8,1-1
2.55,3.15,2.65,2-0
3.05,3.05,2.47,2-0
2.37,3.05,3.05,3-1
3.3,3.2,2.19,2-3
2.45,3.05,3.1,1-1
3.15,3.4,2.24,0-1
3.1,3.2,2.35,1-2
2.55,3.05,2.7,1-0
2.6,3.05,2.8,0-0
2.33,3.25,3.1,0-1
3.3,3.35,2.19,2-1
2.8,3,2.7,0-2
2.5,3.15,2.85,2-0
2.95,3.1,2.5,4-2
2.8,3.05,2.8,0-0
2.65,3.05,2.7,2-2
2.5,3.1,2.95,1-5
2.55,3.65,2.47,2-0
2.34,3.95,2.85,0-2
2.95,3.45,2.49,3-0
1.81,4.1,4.1,4-0
2.07,3.25,3.35,2-1
3.4,3.2,2.11,1-3
2.36,3.2,3.4,0-2
2.8,3.1,2.6,1-1
2.31,3.25,3.35,0-2
2.48,3.35,3.05,0-3
2.45,3.1,3.35,0-2
2.85,3.05,2.85,1-2
2.8,3,2.55,2-0
2.38,3.25,3.05,0-0
3.45,3,2.23,0-1
3.3,3.2,2.2,4-1
2.9,3.1,2.55,2-1
2.65,3.15,2.75,0-2
2.44,3.1,3.05,2-1
2.43,3,3.15,2-3
4.1,3.45,2.01,0-1
2.23,3,3.45,0-1
3,3.45,2.29,1-3
2.06,3.35,3.3,1-2
2.1,3.15,3.35,1-1
2.24,3.45,3.3,2-0
2.17,3.35,3.3,5-0
2.1,3.4,3.15,1-0
3.1,3.1,2.25,1-3
3.05,3.35,2.17,0-2
2.08,3.2,3.4,3-1
2.6,3.1,2.75,0-3
2.75,3.1,2.6,1-1
2.8,3.3,2.5,1-0
3.35,3.45,2.11,0-3
3.1,4,2.19,1-2
2.85,3,2.95,1-0
2.75,3.2,2.85,2-2
2.95,3.35,2.55,0-0
2.65,2.7,3.1,3-0
2.8,3,2.95,1-0
3.15,2.9,2.7,2-0
2.7,3.4,2.65,2-2
2.27,3.3,3.15,0-2
5.2,4.1,1.58,0-2
5.6,4.2,1.56,1-2
5.2,4,1.7,0-0
2.43,3.3,3.15,2-3
1.65,4.1,5.6,5-2
1.48,4.3,5.8,3-1
5.4,4.2,1.58,1-0
2.02,3,4,2-0
1.85,3.15,4.3,2-2
1.77,3.85,4.7,2-0
2.25,3.35,3.15,0-1
2.26,3.4,3.1,5-0
2.33,3.5,3.15,2-1
3.2,3.55,2.3,0-1
3.15,4.2,2.06,5-0
6.6,4.4,1.43,1-5
5.6,4.5,1.52,1-1
1.45,4.6,5.8,2-2
2.27,3.4,3.25,2-0
2.28,3.55,3.1,3-0
1.64,3.95,5.6,3-0
2,3.35,4.1,3-0
2.29,3.15,3.6,1-1
3.7,3.3,2.19,1-3
2.24,3.35,3.45,3-0
6.4,3.8,1.56,0-0
2.23,3.4,3.15,0-1
6.2,3.8,1.57,0-1
1.49,4.4,6.2,1-0
2.55,3.3,2.7,0-1
2.28,4.1,2.65,1-0
2.44,3.6,2.85,3-2
2.7,3.15,2.47,0-2
2.39,3.65,2.5,1-1
2.09,3.05,3.8,0-2
3.15,2.7,2.6,0-0
2.14,3.1,3.6,3-1
1.85,3.1,4.1,0-0
2.55,3.25,2.65,1-1
3.25,3.05,2.31,3-1
2.7,3.25,2.55,1-0
2.75,3.25,2.55,1-0
2.55,3.05,2.7,1-3
