Home,Draw,Away,Score,Result,Source
2.5,3.15,2.7,0-1,2,Master archive
2.6,3.45,2.6,1-1,X,Master archive
2.55,3.4,2.6,0-4,2,Master archive
2.75,3.3,2.75,1-2,2,Master archive
2.5,3.45,2.95,2-2,X,Master archive
2.6,3.35,2.6,0-0,X,Master archive
2.16,3.45,3.25,2-5,2,Master archive
2.65,3.4,2.65,1-3,2,Master archive
2.55,3.4,2.75,3-2,1,Master archive
2.8,3,2.8,3-3,X,Master archive
2.55,3.05,2.65,3-3,X,Master archive
2.8,3.25,2.75,0-4,2,Master archive
2.75,3,2.8,1-2,2,Master archive
2.2,3.1,3.45,1-1,X,Master archive
2.28,3.4,3.25,0-2,2,Master archive
3.05,3.4,2.4,4-2,1,Master archive
2.14,3.15,3.2,2-0,1,Master archive
2.46,3.2,3.2,2-1,1,Master archive
3.25,3.45,2.33,0-0,X,Master archive
3.1,3.4,2.24,1-1,X,Master archive
2.15,3.4,3.25,2-0,1,Master archive
3.2,3.25,2.09,1-1,X,Master archive
2.14,3.1,3.35,2-1,1,Master archive
3.4,3.1,2.11,1-1,X,Master archive
3.15,3.45,2.21,1-3,2,Master archive
3.25,3.3,2.28,0-1,2,Master archive
2.48,3.15,3.05,2-2,X,Master archive
3.2,3.35,2.4,1-1,X,Master archive
2.38,3.1,3.45,1-0,1,Master archive
2.07,3.6,3.35,0-1,2,Master archive
3.05,3.85,2.12,2-0,1,Master archive
2.25,3.45,3.1,2-2,X,Master archive
2.22,3.3,3.05,2-0,1,Master archive
3.1,3.35,2.24,3-1,1,Master archive
2.1,3.4,3.25,0-3,2,Master archive
3.05,3.5,2.36,1-1,X,Master archive
3.05,3.5,2.16,3-4,2,Master archive
2.11,3.65,3.45,2-2,X,Master archive
2.19,3.6,3.25,0-0,X,Master archive
3.15,3.4,2.27,1-2,2,Master archive
2.29,3.25,3.25,2-1,1,Master archive
2.3,3.35,3.15,1-0,1,Master archive
2.25,3.4,3.2,2-2,X,Master archive
2.21,3.4,3.3,3-0,1,Master archive
2.45,3.25,3.1,0-2,2,Master archive
3.35,3.2,2.19,1-0,1,Master archive
3.25,3.4,2.05,3-0,1,Master archive
2.19,3.45,3.2,0-1,2,Master archive
3.3,3.05,2.49,3-2,1,Master archive
2.17,3.4,3.15,0-3,2,Master archive
